,day,PM2.5
0,730,276.3999938964844
1,731,146.7916717529297
2,732,113.875
3,733,144.75
4,734,118.45833587646484
5,735,170.9166717529297
6,736,227.0
7,737,231.25
8,738,272.125
9,739,205.25
10,740,256.0
11,741,272.4166564941406
12,742,228.7916717529297
13,743,200.875
14,744,214.0416717529297
15,745,210.0
16,746,210.125
17,747,227.75
18,748,217.25
19,749,212.4583282470703
20,750,202.6666717529297
21,751,149.875
22,752,85.08333587646484
23,753,102.875
24,754,138.7916717529297
25,755,153.0833282470703
26,756,159.7083282470703
27,757,147.375
28,758,171.0
29,759,133.4166717529297
30,760,151.875
31,761,224.7916717529297
32,762,185.3478240966797
33,763,149.625
34,764,114.20833587646484
35,765,97.5
36,766,162.0
37,767,161.1666717529297
38,768,136.75
39,769,76.375
40,770,117.20833587646484
41,771,146.75
42,772,166.3333282470703
43,773,120.20833587646484
44,774,137.125
45,775,197.0833282470703
46,776,161.9166717529297
47,777,161.375
48,778,182.1052703857422
49,779,166.375
50,780,126.58333587646484
51,781,94.91666412353516
52,782,64.95833587646484
53,783,157.25
54,784,182.5416717529297
55,785,133.9583282470703
56,786,69.25
57,787,82.73912811279297
58,788,92.04166412353516
59,789,94.875
60,790,32.66666793823242
61,791,61.125
62,792,87.79166412353516
63,793,99.52173614501953
64,794,81.95833587646484
65,795,49.58333206176758
66,796,34.91666793823242
67,797,47.5
68,798,81.29166412353516
69,799,111.45833587646484
70,800,133.0416717529297
71,801,128.8333282470703
72,802,56.33333206176758
73,803,20.29166603088379
74,804,34.45833206176758
75,805,56.79166793823242
76,806,48.91666793823242
77,807,59.16666793823242
78,808,83.83333587646484
79,809,89.375
80,810,65.83333587646484
81,811,58.66666793823242
82,812,67.08333587646484
83,813,101.375
84,814,109.75
85,815,42.91666793823242
86,816,84.41666412353516
87,817,97.08333587646484
88,818,21.58333396911621
89,819,47.25
90,820,81.20833587646484
91,821,52.29166793823242
92,822,28.45833396911621
93,823,23.66666603088379
94,824,67.04166412353516
95,825,90.0
96,826,49.5
97,827,75.16666412353516
98,828,53.125
99,829,76.25
100,830,69.04166412353516
101,831,41.16666793823242
102,832,54.70833206176758
103,833,52.625
104,834,51.375
105,835,45.5
106,836,56.83333206176758
107,837,100.41666412353516
108,838,94.33333587646484
109,839,92.91666412353516
110,840,80.20833587646484
111,841,76.66666412353516
112,842,68.25
113,843,98.375
114,844,71.66666412353516
115,845,31.83333396911621
116,846,47.66666793823242
117,847,38.25
118,848,41.375
119,849,48.41666793823242
120,850,48.125
121,851,56.25
122,852,103.41666412353516
123,853,76.5
124,854,136.25
125,855,123.0434799194336
126,856,76.875
127,857,86.375
128,858,77.70833587646484
129,859,73.41666412353516
130,860,74.75
131,861,73.66666412353516
132,862,48.5
133,863,55.08333206176758
134,864,67.45833587646484
135,865,75.04166412353516
136,866,63.95833206176758
137,867,48.875
138,868,34.846153259277344
139,869,61.5
140,870,71.91304016113281
141,871,42.125
142,872,45.0
143,873,69.42857360839844
144,874,77.375
145,875,63.91666793823242
146,876,63.66666793823242
147,877,139.125
148,878,72.0999984741211
149,879,81.5
150,880,66.39130401611328
151,881,25.45833396911621
152,882,20.75
153,883,40.5
154,884,70.08333587646484
155,885,108.66666412353516
156,886,76.25
157,887,64.83333587646484
158,888,63.0
159,889,73.83333587646484
160,890,29.5
161,891,56.375
162,892,30.375
163,893,31.875
164,894,54.95833206176758
165,895,77.75
166,896,82.0
167,897,87.875
168,898,92.54166412353516
169,899,75.33333587646484
170,900,32.58333206176758
171,901,28.375
172,902,39.70588302612305
173,903,52.83333206176758
174,904,93.41666412353516
175,905,28.54166603088379
176,906,51.04166793823242
177,907,40.0
178,908,52.45833206176758
179,909,30.54166603088379
180,910,37.625
181,911,37.58333206176758
182,912,37.625
183,913,34.375
184,914,71.29166412353516
185,915,111.08333587646484
186,916,32.0
187,917,42.29166793823242
188,918,45.66666793823242
189,919,40.625
190,920,28.25
191,921,20.5
192,922,19.0
193,923,26.875
194,924,30.70833396911621
195,925,30.625
197,927,60.20000076293945
198,928,47.5
199,929,43.04166793823242
200,930,27.41176414489746
201,931,25.25
202,932,20.91666603088379
203,933,19.75
204,934,25.200000762939453
207,937,7.25
208,938,8.65217399597168
209,939,9.333333015441895
210,940,5.26086950302124
211,941,16.04347801208496
212,942,19.83333396911621
213,943,25.79166603088379
214,944,22.70833396911621
215,945,28.30434799194336
216,946,42.45833206176758
217,947,35.5
218,948,31.33333396911621
219,949,47.41666793823242
220,950,33.79166793823242
221,951,54.875
222,952,51.78260803222656
223,953,36.565216064453125
224,954,42.59090805053711
225,955,41.70833206176758
226,956,28.75
227,957,31.0
228,958,37.79166793823242
229,959,34.04166793823242
230,960,12.782608985900879
231,961,14.5
232,962,23.91666603088379
233,963,26.45833396911621
234,964,25.33333396911621
235,965,26.409090042114258
236,966,27.375
237,967,29.20833396911621
238,968,36.5
239,969,57.25
240,970,38.66666793823242
241,971,28.5
242,972,27.83333396911621
243,973,44.125
244,974,62.25
245,975,60.125
246,976,54.25
247,977,43.08333206176758
248,978,37.41666793823242
249,979,34.66666793823242
250,980,39.20833206176758
251,981,38.70833206176758
252,982,37.650001525878906
253,983,56.85714340209961
254,984,66.83333587646484
255,985,69.95833587646484
256,986,98.47826385498047
257,987,85.75
258,988,80.66666412353516
259,989,93.66666412353516
260,990,41.21739196777344
261,991,51.66666793823242
262,992,39.41666793823242
263,993,23.95833396911621
264,994,19.91666603088379
265,995,11.5
266,996,32.95833206176758
267,997,43.5
268,998,50.41666793823242
269,999,55.70833206176758
