,day,PM2.5
0,1825,255.875
1,1826,226.52174377441406
2,1827,239.13043212890625
3,1828,392.2083435058594
4,1829,536.5
5,1830,321.8333435058594
6,1831,298.4583435058594
7,1832,264.9166564941406
8,1833,422.0869445800781
9,1834,461.9130554199219
10,1835,220.9583282470703
11,1836,251.375
12,1837,323.1428527832031
13,1838,263.6000061035156
14,1839,376.9166564941406
15,1840,362.0
16,1841,257.0454406738281
20,1845,97.71428680419922
21,1846,114.33333587646484
22,1847,154.56521606445312
23,1848,184.875
24,1849,202.9166717529297
25,1850,205.125
26,1851,214.125
27,1852,202.9583282470703
28,1853,308.875
29,1854,323.875
30,1855,315.7916564941406
31,1856,322.25
32,1857,246.0416717529297
33,1858,209.6521759033203
34,1859,187.1666717529297
35,1860,187.7916717529297
36,1861,167.7916717529297
37,1862,103.82608795166016
38,1863,143.9166717529297
39,1864,104.60869598388672
40,1865,126.0
41,1866,163.9166717529297
42,1867,152.875
43,1868,165.0
44,1869,116.45833587646484
45,1870,143.0
46,1871,194.9166717529297
47,1872,130.6666717529297
48,1873,152.375
49,1874,231.125
50,1875,276.2105407714844
51,1876,211.0
52,1877,172.0
53,1878,184.875
54,1879,152.6666717529297
55,1880,139.22222900390625
56,1881,204.5454559326172
57,1882,130.1666717529297
58,1883,68.91666412353516
59,1884,123.125
60,1885,120.91666412353516
61,1886,153.625
62,1887,119.41666412353516
63,1888,110.75
64,1889,94.29166412353516
65,1890,130.3333282470703
66,1891,110.70833587646484
67,1892,138.5
68,1893,39.29166793823242
69,1894,44.91666793823242
70,1895,57.1363639831543
71,1896,75.75
72,1897,146.5416717529297
73,1898,174.9375
74,1899,163.0
75,1900,162.0833282470703
76,1901,63.45833206176758
77,1902,80.04166412353516
78,1903,100.04166412353516
79,1904,109.45833587646484
80,1905,103.08333587646484
81,1906,208.8333282470703
82,1907,74.66666412353516
83,1908,110.16666412353516
84,1909,108.20833587646484
85,1910,103.83333587646484
86,1911,140.84210205078125
87,1912,98.58333587646484
88,1913,60.41666793823242
89,1914,74.29166412353516
90,1915,101.79166412353516
91,1916,106.16666412353516
92,1917,89.875
93,1918,71.95833587646484
94,1919,76.41666412353516
95,1920,113.375
96,1921,48.20833206176758
97,1922,47.04166793823242
98,1923,67.79166412353516
99,1924,65.45833587646484
100,1925,77.75
101,1926,114.45833587646484
102,1927,56.66666793823242
103,1928,79.0
104,1929,123.58333587646484
105,1930,97.875
106,1931,77.33333587646484
107,1932,48.33333206176758
108,1933,80.29166412353516
109,1934,137.875
110,1935,87.875
111,1936,61.875
112,1937,82.125
113,1938,139.9166717529297
114,1939,121.20833587646484
115,1940,97.04166412353516
116,1941,96.08695983886719
117,1942,105.75
118,1943,119.16666412353516
119,1944,121.45833587646484
120,1945,130.625
121,1946,90.5
122,1947,55.41666793823242
123,1948,79.29166412353516
124,1949,81.875
125,1950,73.20833587646484
126,1951,108.33333587646484
127,1952,198.875
128,1953,120.70833587646484
129,1954,117.375
130,1955,86.83333587646484
131,1956,88.625
132,1957,60.54166793823242
133,1958,79.0
134,1959,133.7083282470703
135,1960,87.08333587646484
136,1961,107.91666412353516
137,1962,76.625
138,1963,53.25
139,1964,65.16666412353516
140,1965,83.58333587646484
141,1966,86.91666412353516
142,1967,65.16666412353516
143,1968,44.29166793823242
144,1969,40.66666793823242
145,1970,48.125
146,1971,103.16666412353516
147,1972,119.70833587646484
148,1973,124.25
149,1974,143.0416717529297
150,1975,143.375
151,1976,44.79166793823242
152,1977,75.08695983886719
153,1978,60.0
154,1979,87.08333587646484
155,1980,84.04166412353516
156,1981,97.76190185546875
157,1982,101.0
158,1983,76.20833587646484
159,1984,88.0
160,1985,84.20833587646484
161,1986,83.375
162,1987,55.95833206176758
163,1988,48.83333206176758
164,1989,85.94444274902344
165,1990,113.70587921142578
166,1991,63.3636360168457
167,1992,52.130435943603516
168,1993,152.5625
169,1994,74.76190185546875
170,1995,62.47618865966797
171,1996,78.54166412353516
172,1997,73.0
173,1998,58.625
174,1999,61.5
175,2000,49.125
176,2001,83.21052551269531
177,2002,79.0
178,2003,71.29166412353516
179,2004,74.375
180,2005,197.84616088867188
181,2006,233.26315307617188
182,2007,143.15789794921875
183,2008,233.93333435058594
184,2009,104.5999984741211
185,2010,148.05555725097656
186,2011,121.2272720336914
187,2012,117.17391204833984
188,2013,66.13636016845703
189,2014,71.0
190,2015,65.19047546386719
191,2016,73.54545593261719
192,2017,151.6666717529297
193,2018,283.23077392578125
194,2019,269.9166564941406
195,2020,162.25
196,2021,249.6842041015625
197,2022,275.5714416503906
198,2023,30.39130401611328
199,2024,104.5
200,2025,226.41175842285156
201,2026,159.0
202,2027,198.1999969482422
203,2028,350.4444580078125
204,2029,107.75
205,2030,31.45833396911621
206,2031,47.375
207,2032,38.16666793823242
208,2033,42.54166793823242
209,2034,35.79166793823242
210,2035,43.45833206176758
211,2036,35.95833206176758
212,2037,27.363636016845703
