,T,TM,Tm,SLP,H,PP,VV,V,VM,PM2.5,year
127,34.1,42.0,23.7,1001.4,29.0,0.0,1.9,9.3,18.3,137.16667175292972,2013
128,34.1,42.0,26.8,1000.8,32.0,0.0,1.9,7.8,14.8,101.95833587646484,2013
132,30.9,37.6,23.2,1003.7,44.0,0.0,1.9,3.5,11.1,89.54166412353516,2013
133,32.9,39.8,24.7,1001.0,38.0,0.0,1.9,5.6,13.0,87.25,2013
134,30.6,37.4,24.8,1000.8,47.0,0.0,1.9,2.2,7.6,107.625,2013
138,36.2,44.6,25.9,999.2,29.0,0.0,1.9,15.0,27.8,97.625,2013
139,36.2,44.6,29.2,999.1,32.0,0.0,1.9,10.6,18.3,80.3043441772461,2013
140,36.8,45.1,28.0,999.1,26.0,0.0,1.9,12.0,25.9,72.25,2013
144,37.7,45.0,30.5,998.1,32.0,0.0,1.9,10.0,22.2,67.08333587646484,2013
145,36.2,43.6,29.3,998.4,32.0,0.0,2.3,8.1,20.6,80.04166412353516,2013
146,35.6,42.6,30.2,999.3,41.0,0.0,1.9,8.1,20.6,74.16666412353516,2013
150,33.6,40.6,24.8,998.8,47.0,0.0,1.9,10.6,18.3,75.125,2013
151,31.9,40.6,26.7,1002.0,61.0,0.0,1.9,13.5,20.6,37.16666793823242,2013
152,32.4,38.5,26.6,1001.0,63.0,0.0,2.3,13.3,22.2,57.375,2013
153,34.1,40.3,28.8,999.7,59.0,0.0,1.9,10.9,16.5,56.29166793823242,2013
157,34.1,43.2,25.7,997.9,57.0,14.99,1.9,7.4,14.8,42.54166793823242,2013
158,34.2,39.8,29.1,996.7,64.0,0.0,1.9,13.7,18.3,93.08333587646484,2013
159,35.1,40.2,30.2,995.2,52.0,0.0,1.9,8.5,14.8,80.625,2013
163,30.3,39.2,28.8,998.6,75.0,0.0,1.9,10.2,22.2,87.75,2013
164,30.4,38.6,27.8,997.7,73.0,11.94,1.9,8.0,22.2,66.26087188720703,2013
165,29.8,38.6,24.6,997.9,71.0,6.1,2.3,12.6,16.5,50.70833206176758,2013
169,29.7,35.5,24.8,999.0,76.0,5.08,1.9,4.3,14.8,52.16666793823242,2013
170,33.0,38.4,25.3,997.6,58.0,0.0,1.8,4.8,13.0,49.58333206176758,2013
171,35.6,41.0,27.3,995.5,49.0,0.0,1.9,7.4,18.3,64.56521606445311,2013
175,31.0,39.4,27.8,999.2,74.0,0.0,1.9,11.5,18.3,33.08333206176758,2013
176,31.2,35.7,27.2,998.4,75.0,0.0,1.9,6.3,14.8,51.26086807250977,2013
177,31.2,37.1,27.6,996.8,71.0,2.03,1.9,8.1,20.6,43.66666793823242,2013
181,33.9,39.2,27.8,995.2,62.0,0.0,1.9,8.9,14.8,39.25,2013
183,31.6,37.6,26.9,997.5,76.0,2.03,1.9,6.5,11.1,37.625,2013
187,31.1,35.0,27.9,1000.1,81.0,0.0,1.9,7.2,11.1,65.75,2013
188,30.3,35.8,27.2,997.5,78.0,0.0,1.9,7.6,14.8,38.58333206176758,2013
189,29.2,35.4,24.6,996.4,81.0,2.03,1.8,7.4,14.8,36.0,2013
193,31.8,36.7,25.8,998.8,75.0,21.08,1.9,8.3,14.8,45.58333206176758,2013
194,31.1,37.2,28.2,997.5,76.0,0.0,1.9,3.9,11.1,33.16666793823242,2013
195,31.7,37.2,26.8,998.3,78.0,4.06,1.9,7.8,11.1,38.25,2013
199,30.9,35.4,25.8,995.0,77.0,7.11,1.9,10.4,18.3,35.375,2013
200,26.8,35.4,24.2,999.0,93.0,0.0,1.1,6.3,14.8,15.416666984558105,2013
201,29.1,33.8,23.9,996.3,86.0,122.94,1.4,2.6,55.4,41.375,2013
205,28.5,34.4,26.3,995.5,87.0,19.05,1.6,7.0,14.8,39.33333206176758,2013
206,30.4,35.1,24.8,995.2,77.0,8.89,1.9,5.2,14.8,41.83333206176758,2013
207,30.0,35.5,26.2,997.5,83.0,2.03,1.9,3.7,11.1,50.33333206176758,2013
211,29.0,33.7,26.9,996.5,82.0,0.0,1.9,9.8,14.8,33.29166793823242,2013
212,31.1,34.9,25.9,998.2,76.0,0.0,1.9,6.7,11.1,35.5,2013
213,31.8,36.0,27.5,999.6,71.0,0.0,1.9,11.7,18.3,35.29166793823242,2013
214,32.2,36.1,27.4,1000.8,69.0,0.0,1.9,9.3,14.8,26.83333396911621,2013
218,28.4,30.6,25.3,1001.8,88.0,0.51,1.4,3.1,7.6,34.875,2013
219,28.1,30.8,25.8,1000.6,88.0,16.0,1.9,8.0,18.3,35.70833206176758,2013
220,27.4,30.8,25.4,1000.8,90.0,2.03,1.9,3.1,9.4,43.58333206176758,2013
224,30.1,34.6,27.2,1000.0,79.0,0.0,1.9,10.2,18.3,58.54166793823242,2013
225,29.7,34.9,26.1,1000.3,79.0,0.0,1.9,8.3,18.3,82.875,2013
226,27.7,30.7,24.8,1001.8,88.0,8.89,1.9,7.2,14.8,64.91666412353516,2013
230,28.4,33.1,26.0,1000.0,86.0,0.25,1.9,5.0,18.3,45.25,2013
231,27.4,33.5,24.4,999.1,90.0,12.95,1.1,5.4,18.3,34.41666793823242,2013
232,29.2,34.4,24.8,999.0,81.0,95.0,2.1,7.8,29.4,33.16666793823242,2013
236,30.4,36.5,27.8,999.3,82.0,12.95,1.4,2.0,7.6,34.20833206176758,2013
237,32.1,36.7,26.8,998.1,74.0,0.0,1.9,6.5,14.8,31.0,2013
238,32.0,35.5,27.6,999.8,65.0,0.0,2.6,16.9,29.4,78.5,2013
242,29.1,34.2,25.9,1003.4,76.0,0.0,1.9,5.6,9.4,65.625,2013
243,30.2,35.6,25.6,1003.6,68.0,0.0,3.1,14.8,22.2,53.375,2013
244,31.7,35.9,27.0,1003.6,59.0,0.0,2.6,14.4,22.2,56.08333206176758,2013
245,31.6,36.3,25.9,1002.7,58.0,0.0,2.7,15.4,25.9,69.70833587646484,2013
249,30.9,35.6,25.0,1004.8,58.0,0.0,2.3,6.9,14.8,50.125,2013
250,29.6,34.2,25.8,1007.3,67.0,0.0,1.9,6.3,14.8,46.54166793823242,2013
