key,state,ccode,scode,year,vcrime90,vcrime00,pcrime90,pcrime00,waea90,waea00,enroll90,enroll00,gspcap90,gspcap00,gsp90,gsp00,pop90,pop00,medhhd90,medhhd00,urbanp2000,urbanp1990,unemp2000,unemp1990,inituse,census4,census9,domPolCulture,lowhsREP,upphsREP,govrnREP,unifGOVT,profleg,conserve,repub
712000,Arkansas,71,AR,2000,532.2,445.3,4334.7,3670,53.05,65.88,95.8,93.5,16319.22,24988.03,38362,66793,2350725,2673000,29224,39783,52.5,53.5,4.4,7,5,South,West South Central,Traditionalistic,0,0,0.2,0.8,0.11,-0.03,-0.23
722000,Louisiana,72,LA,2000,898.4,681.1,5588.2,4741.7,55.25,66.22,88.1,86.4,22492.8,32442.16,94919,144984,4219973,4469000,22405,30718,72.6,68.1,5.5,6.3,0,South,West South Central,Traditionalistic,0,0,0.4,0.06,0.19,0.08,-0.24
732000,Oklahoma,73,OK,2000,547.5,497.8,5051.2,4060.8,60.4,70.2,95.1,96.5,18368.6,26352.36,57780,90942,3145585,3451000,24384,32432,65.3,67.7,3,5.7,8,South,West South Central,Traditionalistic,0,0,0.6,0.4,0.25,0.12,-0.16
742000,Texas,74,TX,2000,761.4,545.1,7065.3,4410.4,59.15,65.38,98.4,97.8,22845.89,35405.24,388072,738270,16986510,20852000,28228,38609,82.5,80.3,4.2,6.3,0,South,West South Central,Traditionalistic,0,0.4,0.6,0.8,0.21,0.09,-0.13
812000,Montana,81,MT,2000,159.3,240.6,4342.8,3292.7,65.7,73.15,94.1,92.3,16797.13,24059.87,13422,21702,799065,902000,23375,32777,54.1,52.5,4.9,6,16,West,Mountain,Moralistic,0.8,0.6,1,0.8,0.11,-0.03,-0.01
822000,Idaho,82,ID,2000,275.7,252.5,3781.4,2933.7,64.2,69.65,96.9,95.2,17620.08,28404.17,17739,36755,1006749,1294000,27288,40991,66.4,57.4,4.9,5.9,8,West,Mountain,Moralistic,1,0.9,0.6,0.6,0.12,0.14,0.2
832000,Wyoming,83,WY,2000,301.4,266.5,3909.3,3031.5,66.95,72.57,97.7,95.5,29601.75,38690.29,13427,19113,453588,494000,29460,39629,65.1,65.7,3.9,5.5,6,West,Mountain,Individualistic,1,1,0.8,0.8,0.06,-0.04,-0.02
842000,Colorado,84,CO,2000,526,334,5527.8,3648.6,70.05,75.93,94.6,91.1,22675.19,39372.47,74701,169341,3294394,4301000,30733,48240,84.5,82.4,2.7,5,38,West,Mountain,Moralistic,1,1,0.2,0.2,0.3,-0.04,0.06
852000,New Mexico,85,NM,2000,131.5,175.4,3513.7,2257.8,61.42,67.55,94.4,89.1,17936.48,28912.59,27175,52592,1515069,1819000,38734,50405,75,73,4.9,6.5,0,West,Mountain,Traditionalistic,0,0,0.6,0.4,0.1,-0.01,-0.04
862000,Arizona,86,AZ,2000,652.4,531.7,7236.4,5297.8,64.1,69.97,93.3,89.9,18785.19,29910.15,68852,153469,3665228,5131000,22786,29697,88.2,87.5,3.9,5.5,23,West,Mountain,Traditionalistic,1,0.8,1,1,0.25,0.08,0.05
872000,Utah,87,UT,2000,283.9,255.7,5376,4220.3,69.4,74.63,97.8,96.6,18201.82,30644.87,31359,68430,1722850,2233000,30142,47550,88.2,75.2,3.2,4.3,3,West,Mountain,Moralistic,1,1,1,1,0.08,0.17,0.15
882000,Nevada,88,NV,2000,73.9,81.4,2848.5,2206.6,62.92,66.93,98.6,93.4,26328.95,37804.3,31643,75533,1201833,1998000,25264,35996,91.5,88.3,4.1,4.9,13,West,Mountain,Individualistic,0.1,0.9,0.2,0.8,0.16,,
912000,Washington,91,WA,2000,501.6,369.7,5721.3,4736,68.57,76,94.1,91.5,23729.05,37002.88,115482,218095,4866692,5894000,32112,42525,82,69.4,5.2,4.9,29,West,Pacific,Moralistic,0.6,0.6,0,0.6,0.23,-0.05,-0.04
922000,Oregon,92,OR,2000,506.8,350.7,5139.2,4494.7,66.28,72.88,90.6,89.7,20323.88,35481.73,57767,121383,2842321,3421000,29281,42499,78.7,70.5,4.9,5.6,56,West,Pacific,Moralistic,1,0.6,0,0.4,0.18,-0.05,-0.04
932000,California,93,CA,2000,1045.2,621.6,5558.4,3118.2,63,67.78,92.6,94,26844.03,39266.21,798879,1330025,29760020,33872000,33290,46816,94.4,92.6,4.9,5.8,60,West,Pacific,Moralistic,0.2,0,0.8,0.2,0.63,-0.05,0.02
942000,Alaska,94,AK,2000,524.5,566.9,4628.2,3682.5,70.7,74.82,97.4,91.4,45040.12,44862.84,24774,28129,550043,627000,23357,35424,65.6,67.5,6.6,7,13,West,Pacific,Individualistic,0.6,0.8,0,0,0.31,,
952000,Hawaii,95,HI,2000,280.9,243.8,5825.8,4955.1,65.8,72.13,87.4,88.9,29116.73,35085.81,32268,42524,1108229,1212000,38921,51546,91.5,89,4.3,2.9,0,West,Pacific,Individualistic,0,0,0,0.1,0.28,,
