,day,PM2.5
0,1,284.79583740234375
1,2,239.69546508789062
2,3,182.1875
3,4,197.63571166992188
5,6,297.1000061035156
6,7,264.0643005371094
7,8,223.2083282470703
8,9,200.6458282470703
9,10,154.875
10,11,129.3874969482422
11,12,224.24583435058594
12,13,285.2250061035156
13,14,334.3411865234375
14,15,276.9083251953125
15,16,267.9818115234375
16,17,218.67083740234375
17,18,47.82500076293945
18,19,108.0
19,20,107.625
20,21,125.89167022705078
21,22,179.30833435058594
22,23,239.84999084472656
23,24,220.191650390625
24,25,181.0124969482422
25,26,152.55416870117188
26,27,152.3208465576172
27,28,171.4291534423828
28,29,251.375
29,30,251.8291778564453
30,31,319.7375183105469
31,32,332.7083435058594
32,33,279.6000061035156
33,34,179.1166534423828
34,35,166.3000030517578
35,36,78.2541732788086
36,37,54.95833206176758
37,38,54.79166793823242
38,39,93.375
39,40,103.0
40,41,211.125
41,42,192.2916717529297
42,43,152.0
43,44,132.2083282470703
44,45,127.70833587646484
45,46,145.77777099609375
49,50,90.33333587646484
50,51,135.8333282470703
51,52,122.5
52,53,119.33333587646484
53,54,67.125
54,55,46.70833206176758
55,56,69.66666412353516
56,57,79.83333587646484
57,58,83.61111450195312
58,59,81.04166412353516
59,60,36.35714340209961
60,61,2.555555582046509
61,62,2.095238208770752
62,63,2.263157844543457
63,64,42.16666793823242
64,65,112.08333587646484
65,66,105.83333587646484
66,67,117.58333587646484
67,68,122.70833587646484
68,69,76.54166412353516
69,70,159.0833282470703
70,71,147.9583282470703
71,72,111.95833587646484
72,73,59.20833206176758
73,74,80.56521606445312
74,75,87.83333587646484
75,76,90.04166412353516
76,77,73.04762268066406
77,78,98.70833587646484
78,79,123.70833587646484
79,80,64.79166412353516
80,81,62.875
81,82,92.21739196777344
82,83,77.66666412353516
83,84,52.33333206176758
84,85,52.04166793823242
85,86,128.3333282470703
86,87,87.58333587646484
87,88,70.0
90,91,46.41666793823242
91,92,33.09090805053711
92,93,36.42856979370117
93,94,41.20000076293945
94,95,52.41666793823242
95,96,89.0
96,97,81.83333587646484
97,98,105.33333587646484
98,99,117.75
99,100,55.44444274902344
100,101,97.1875
101,102,87.375
102,103,84.5
103,104,46.91666793823242
104,105,104.625
105,106,109.625
106,107,63.45833206176758
107,108,77.04166412353516
108,109,110.875
109,110,147.2857208251953
111,112,49.400001525878906
112,113,75.58333587646484
113,114,106.95833587646484
114,115,120.875
115,116,127.86666870117188
119,120,77.0
120,121,94.75
121,122,142.5
122,123,133.375
123,124,102.41666412353516
124,125,101.75
125,126,117.95833587646484
126,127,147.8333282470703
127,128,158.2916717529297
128,129,149.5833282470703
129,130,117.04545593261719
130,131,96.25
131,132,76.25
132,133,101.5
133,134,106.5
134,135,128.125
135,136,108.0
136,137,125.625
137,138,137.1666717529297
138,139,101.95833587646484
139,140,98.41666412353516
140,141,94.375
141,142,118.5
142,143,89.54166412353516
143,144,87.25
144,145,107.625
145,146,110.41666412353516
146,147,95.83333587646484
147,148,93.5
148,149,97.625
149,150,80.3043441772461
150,151,72.25
151,152,38.66666793823242
152,153,45.375
153,154,65.16666412353516
154,155,67.08333587646484
155,156,80.04166412353516
156,157,74.16666412353516
157,158,66.08333587646484
158,159,77.66666412353516
159,160,70.25
160,161,75.125
161,162,37.16666793823242
162,163,57.375
163,164,56.29166793823242
164,165,77.0
165,166,32.95833206176758
166,167,40.83333206176758
167,168,42.54166793823242
168,169,93.08333587646484
169,170,80.625
170,171,90.70833587646484
171,172,97.29166412353516
172,173,79.83333587646484
173,174,87.75
174,175,66.26087188720703
175,176,50.70833206176758
176,177,40.375
177,178,49.41666793823242
178,179,43.66666793823242
179,180,52.16666793823242
180,181,49.58333206176758
181,182,64.56521606445312
183,184,54.769229888916016
184,185,47.75
185,186,37.70833206176758
186,187,33.08333206176758
187,188,51.260868072509766
188,189,43.66666793823242
189,190,29.83333396911621
190,191,35.599998474121094
191,192,56.70833206176758
192,193,39.25
193,194,35.20833206176758
194,195,37.625
195,196,41.45833206176758
196,197,53.125
197,198,54.875
198,199,65.75
199,200,38.58333206176758
200,201,36.0
201,202,70.58333587646484
202,203,52.45833206176758
203,204,36.58333206176758
204,205,45.58333206176758
205,206,33.16666793823242
206,207,38.25
207,208,26.58333396911621
208,209,57.58333206176758
209,210,30.70833396911621
210,211,35.375
211,212,15.416666984558105
212,213,41.375
213,214,25.54166603088379
214,215,28.375
215,216,40.33333206176758
216,217,39.33333206176758
217,218,41.83333206176758
218,219,50.33333206176758
219,220,35.375
220,221,31.91666603088379
221,222,36.79166793823242
222,223,33.29166793823242
223,224,35.5
224,225,35.29166793823242
225,226,26.83333396911621
226,227,21.125
227,228,18.0
228,229,28.04166603088379
229,230,34.875
230,231,35.70833206176758
231,232,43.58333206176758
232,233,46.04166793823242
233,234,28.75
234,235,70.54166412353516
235,236,58.54166793823242
236,237,82.875
237,238,64.91666412353516
238,239,30.66666603088379
239,240,31.75
240,241,41.04166793823242
241,242,45.25
242,243,34.41666793823242
243,244,33.16666793823242
244,245,30.625
245,246,30.33333396911621
246,247,31.75
247,248,34.20833206176758
248,249,31.0
254,255,78.5
255,256,92.25
256,257,83.45833587646484
257,258,71.66666412353516
258,259,65.625
259,260,53.375
260,261,56.08333206176758
261,262,69.70833587646484
262,263,62.375
263,264,24.875
264,265,37.33333206176758
265,266,50.125
266,267,46.54166793823242
267,268,43.95833206176758
268,269,41.5
269,270,38.79166793823242
270,271,48.91666793823242
271,272,76.91666412353516
272,273,35.956520080566406
273,274,31.65217399597168
274,275,26.66666603088379
275,276,29.0
276,277,34.25
277,278,62.70833206176758
278,279,65.08333587646484
279,280,61.70833206176758
280,281,63.173912048339844
281,282,41.58333206176758
282,283,50.91666793823242
283,284,40.95833206176758
284,285,60.66666793823242
285,286,80.04166412353516
286,287,82.83333587646484
287,288,95.25
288,289,115.83333587646484
289,290,149.6666717529297
290,291,145.5833282470703
291,292,126.16666412353516
292,293,136.7083282470703
293,294,160.6666717529297
294,295,173.5833282470703
295,296,168.625
296,297,174.6666717529297
297,298,245.6666717529297
298,299,261.6666564941406
299,300,272.4166564941406
300,301,226.2916717529297
301,302,291.7083435058594
302,303,207.3333282470703
303,304,149.625
304,305,99.70833587646484
305,306,217.375
306,307,337.5
307,308,250.375
308,309,429.1666564941406
309,310,332.4583435058594
310,311,321.5416564941406
311,312,278.0
312,313,192.3333282470703
313,314,235.3333282470703
314,315,153.2916717529297
315,316,171.5416717529297
316,317,224.1666717529297
317,318,214.63636779785156
318,319,221.5416717529297
319,320,210.5416717529297
320,321,251.2083282470703
321,322,172.8333282470703
322,323,166.7083282470703
323,324,130.7083282470703
324,325,194.7083282470703
325,326,250.875
326,327,274.875
327,328,207.9166717529297
328,329,134.4583282470703
329,330,110.0
330,331,160.0
331,332,217.9166717529297
332,333,184.2083282470703
333,334,130.9166717529297
334,335,118.91666412353516
335,336,176.375
336,337,185.9583282470703
337,338,195.375
338,339,151.0416717529297
339,340,170.875
340,341,239.125
341,342,365.2916564941406
342,343,312.2083435058594
343,344,237.625
344,345,179.3333282470703
345,346,122.54166412353516
346,347,121.33333587646484
347,348,202.875
348,349,260.1666564941406
349,350,403.9583435058594
350,351,455.5833435058594
351,352,382.7083435058594
352,353,277.7083435058594
353,354,284.1666564941406
354,355,288.4166564941406
355,356,256.8333435058594
356,357,175.75
357,358,180.7916717529297
358,359,166.9166717529297
359,360,169.0
360,361,186.0416717529297
361,362,185.5833282470703
362,363,248.90908813476562
363,364,210.6875
364,365,108.08333587646484
